id,name,host_id,host_name,room_type,price
13060550,"Beautiful, central flat with Limmat (river) view",49533468,Rebekka,Entire home/apt,182
13071400,Chez Ruth,72456043,Ruth,Private room,72
13078820,House with pool in a great/quiet area in Zurich,11368311,Thomas,Entire home/apt,494
13138331,"Close to public transportation, 10min from center",3592245,Fabio,Private room,-56
13163060,The heart of the oldtown,70291646,Sofia Sara,Private room,78
13307128,A night or a ride on a great Motorboat in Zurich,22004663,Patrick,Entire home/apt,145
13353575,Antik House with a beautiful garden,16506657,Karen,Private room,56
13432999,Paradeplatz / In Gassen Apartment by Airhome,475053,Alexander Matthias,Entire home/apt,360
13514089,Löwenplatz Apartment next to Station by Airhome,475053,Alexander Matthias,Entire home/apt,384
13517210,Charming 1BR apartment in the old town - UZ4,23561865,Dimi,Entire home/apt,258
13656976,"Nice flat 10min to town center, 20min to airport",3592245,Fabio,Entire home/apt,
13720909,Easy Studio Apartment,58818657,Book A Home AG,Entire home/apt,95
13738654,Executive 2 BD flat / city center (Hösch 1),23561865,Dimi,Entire home/apt,184
13738854,Executive 1BD flat / city center (Hösch 3),23561865,Dimi,Entire home/apt,201
13740005,Very nice 2BD flat city center Enge (Wille 1),23561865,Dimi,Entire home/apt,322
13754939,Sunny flat with own garden and cat!,69606001,Sabrina,Entire home/apt,
13760278,Central Charming Apartment 2 Min walk to the lake,80673820,Carla,Entire home/apt,215
13821357,Wonderful attic apartment in Zurich downtown!,81431934,Rico,Entire home/apt,
13879118,Charming flat in hip & vibrant area,56932925,Hyesook,Entire home/apt,234
13895923,Apartment with balcony in Zurich City Centre,19367610,Charlene,Entire home/apt,
13907213,"architect-musician studio, Zurich",17514955,Lukasz,Entire home/apt,
13927064,Modern home by Prime Tower w/workspace & balcony,25739430,Julian,Entire home/apt,231
13980689,Amazing oldtown location by Airhome 1st floor,475053,Alexander Matthias,Entire home/apt,238
14113525,Cozy & quiet room in antik house close to the lake,16506657,Karen,Private room,59
14165529,Nice room in a private flat,4248093,Sabine,Private room,
14171312,Private Room in Roof-Top Modern Cosy Flat,5037255,Thomas,Private room,86
14437525,Private Room @ Zürich City,87480387,Yeng,Private room,79
14477404,Central and bright room in Zürich,14668334,Lea,Private room,74
14497537,Cozy newly furnished 2 bedroom in Seefeld-NO PARTY,8887876,Dominique,Entire home/apt,154
14497922,"4.5  Maisonette, Zürich",17857491,Roland,Entire home/apt,-160
14652186,Living directly at the Water,18852846,Marco,Entire home/apt,
14659604,Sweet and cosy Apartment in City Center of Zurich,88346063,Cristian,Entire home/apt,107
14766973,Urbane Wohnung im Zürcher Seefeld,92108629,Dominik,Entire home/apt,115
14781925,Quiet Zurich room in lovely neighborhood,447662,Alexandra,Private room,85
14784853,Studio walking distance to University/ETH Zurich.,27980404,Marlise,Entire home/apt,90
14823254,"Quiet bedroom,near Hallenstadion and central.",67421613,Jung Soo,Private room,53
14861181,Direkt im belebten Kreis 4,5536039,Jacqueline,Entire home/apt,
14921512,"Executive 1BR flat, city center (Hammer 1)",23561865,Dimi,Entire home/apt,209
14924969,Charming 1BR flat near the lake (FB1),23561865,Dimi,Entire home/apt,161
14925431,Executive 2BR apt near lake/city center (Dufour 4),23561865,Dimi,Entire home/apt,254
14998360,"Schöne Wohnung,grosse Dachterrasse,Nähe Idaplatz",1216871,Salvatore,Entire home/apt,
15113006,"Modern & Comfy: 5* Location, Desk, Private Balcony",25581442,Dan,Private room,81
15172572,Stylish flat w/garden in top location,2361694,Petra,Entire home/apt,300
15250857,1 Bedroom Apartment with Balcony & Garden View,90399530,Daniella,Entire home/apt,173
15253929,Central Stay in Zürich Wipkingen,73355613,Alessandra Olivia,Private room,87
15341716,Beautiful Cozy Attic Appartment in the Center,35842531,Michael,Entire home/apt,
15363618,"Stunning view over the city, calm & stylish",9220328,Duri,Entire home/apt,104
15372451,Nice room in the city center,73087510,Heiner,Private room,375
15381261,Nice 2BD flat city center / near FIFA (Wille 2),23561865,Dimi,Entire home/apt,288
15450893,Cute and cozy,27964775,Beti,Entire home/apt,145
15519676,1 Bedroom Apartment with Garden View,90399530,Daniella,Entire home/apt,221
15525696,Modern & Spacious In Hip Area,30637041,Ernie,Entire home/apt,
15527370,Spacious bedroom & private bath in heart of Zurich,30637041,Ernie,Private room,
15541196,Dachzimmer für 2,99991407,Gabi,Private room,41
15578517,Helles Zimmer im hippen Kreis 5,7030232,Janna,Private room,
15596713,Stauffacher Apartment- Rodriguez,12886487,Stephanie,Entire home/apt,-150
15596845,Stauffacher Apartment- Keita,12886487,Stephanie,Entire home/apt,150
15596933,Stauffacher Apartment- Raffael,12886487,Stephanie,Entire home/apt,150
15597068,Stauffacher Apartment- Kuenzli,12886487,Stephanie,Entire home/apt,-172
15645106,Room at Stauffacher / Center of Zurich,1773765,Serli,Private room,105
15653745,Nice 2.5 room Raspberry I Apartment,12886487,Stephanie,Entire home/apt,100
15654684,Nice 2.5 room Raspberry II Apartment,12886487,Stephanie,Entire home/apt,100
15654860,Nice 2.5 room Raspberry III Apartment,12886487,Stephanie,Entire home/apt,
15672243,Nice 2.5 room Raspberry IV Apartment,12886487,Stephanie,Entire home/apt,100
